Dump of assembler code for function main:
   0x080485a8 <+0>:	push   %ebp
   0x080485a9 <+1>:	mov    %esp,%ebp
   0x080485ab <+3>:	push   %ebx
   0x080485ac <+4>:	sub    $0x18,%esp
   0x080485af <+7>:	movl   $0x8048430,-0xc(%ebp)
   0x080485b6 <+14>:	cmpl   $0x3,0x8(%ebp)
   0x080485ba <+18>:	je     0x80485d6 <main+46>
   0x080485bc <+20>:	mov    0xc(%ebp),%eax
   0x080485bf <+23>:	mov    (%eax),%eax
   0x080485c1 <+25>:	push   %eax
   0x080485c2 <+26>:	push   $0x8048780
   0x080485c7 <+31>:	call   0x8048400 <printf@plt>
   0x080485cc <+36>:	add    $0x8,%esp
   0x080485cf <+39>:	push   $0xffffffff
   0x080485d1 <+41>:	call   0x8048440 <exit@plt>
   0x080485d6 <+46>:	movl   $0x0,-0x8(%ebp)
   0x080485dd <+53>:	jmp    0x8048618 <main+112>
   0x080485df <+55>:	mov    0x80499e8,%eax
   0x080485e4 <+60>:	mov    -0x8(%ebp),%edx
   0x080485e7 <+63>:	shl    $0x2,%edx
   0x080485ea <+66>:	add    %edx,%eax
   0x080485ec <+68>:	mov    (%eax),%eax
   0x080485ee <+70>:	push   %eax
   0x080485ef <+71>:	call   0x8048460 <strlen@plt>
   0x080485f4 <+76>:	add    $0x4,%esp
   0x080485f7 <+79>:	mov    %eax,%ecx
   0x080485f9 <+81>:	mov    0x80499e8,%eax
   0x080485fe <+86>:	mov    -0x8(%ebp),%edx
   0x08048601 <+89>:	shl    $0x2,%edx
   0x08048604 <+92>:	add    %edx,%eax
   0x08048606 <+94>:	mov    (%eax),%eax
   0x08048608 <+96>:	push   %ecx
   0x08048609 <+97>:	push   $0x0
   0x0804860b <+99>:	push   %eax
   0x0804860c <+100>:	call   0x8048480 <memset@plt>
   0x08048611 <+105>:	add    $0xc,%esp
   0x08048614 <+108>:	addl   $0x1,-0x8(%ebp)
   0x08048618 <+112>:	mov    0x80499e8,%eax
   0x0804861d <+117>:	mov    -0x8(%ebp),%edx
