[00] . 0x00000000 --- va=0x08048000 sz=0x00000000 vsz=00000000 
[01] . 0x00000154 r-- va=0x08048154 sz=0x00000013 vsz=00000013 .interp
[02] . 0x00000168 r-- va=0x08048168 sz=0x00000020 vsz=00000020 .note.ABItag
[03] . 0x00000188 r-- va=0x08048188 sz=0x00000024 vsz=00000024 .note.gnu.buildid
[04] . 0x000001ac r-- va=0x080481ac sz=0x00000020 vsz=00000020 .gnu.hash
[05] . 0x000001cc r-- va=0x080481cc sz=0x000000b0 vsz=000000b0 .dynsym
[06] . 0x0000027c r-- va=0x0804827c sz=0x00000078 vsz=00000078 .dynstr
[07] . 0x000002f4 r-- va=0x080482f4 sz=0x00000016 vsz=00000016 .gnu.version
[08] . 0x0000030c r-- va=0x0804830c sz=0x00000020 vsz=00000020 .gnu.version_r
[09] . 0x0000032c r-- va=0x0804832c sz=0x00000008 vsz=00000008 .rel.dyn
[10] . 0x00000334 r-- va=0x08048334 sz=0x00000040 vsz=00000040 .rel.plt
[11] . 0x00000374 r-x va=0x08048374 sz=0x00000023 vsz=00000023 .init
[12] . 0x000003a0 r-x va=0x080483a0 sz=0x00000090 vsz=00000090 .plt
[13] . 0x00000430 r-x va=0x08048430 sz=0x00000008 vsz=00000008 .plt.got
[14] * 0x00000440 r-x va=0x08048440 sz=0x00000232 vsz=00000232 .text
[15] . 0x00000674 r-x va=0x08048674 sz=0x00000014 vsz=00000014 .fini
[16] . 0x00000688 r-- va=0x08048688 sz=0x00000038 vsz=00000038 .rodata
[17] . 0x000006c0 r-- va=0x080486c0 sz=0x00000034 vsz=00000034 .eh_frame_hdr
[18] . 0x000006f4 r-- va=0x080486f4 sz=0x000000e8 vsz=000000e8 .eh_frame
[19] . 0x00000f08 rw- va=0x08049f08 sz=0x00000004 vsz=00000004 .init_array
[20] . 0x00000f0c rw- va=0x08049f0c sz=0x00000004 vsz=00000004 .fini_array
[21] . 0x00000f10 rw- va=0x08049f10 sz=0x00000004 vsz=00000004 .jcr
[22] . 0x00000f14 rw- va=0x08049f14 sz=0x000000e8 vsz=000000e8 .dynamic
[23] . 0x00000ffc rw- va=0x08049ffc sz=0x00000004 vsz=00000004 .got
[24] . 0x00001000 rw- va=0x0804a000 sz=0x0000002c vsz=0000002c .got.plt
[25] . 0x0000102c rw- va=0x0804a02c sz=0x00000008 vsz=00000008 .data
[26] . 0x00001034 rw- va=0x0804a034 sz=0x00000004 vsz=00000004 .bss
[27] . 0x00001034 --- va=0x08049034 sz=0x0000002d vsz=0000002d .comment
[28] . 0x00001064 --- va=0x08049064 sz=0x00000480 vsz=00000480 .symtab
[29] . 0x000014e4 --- va=0x080494e4 sz=0x00000253 vsz=00000253 .strtab
[30] . 0x00001737 --- va=0x08049737 sz=0x0000010a vsz=0000010a .shstrtab
[31] * 0x00000000 rwx va=0x08048000 sz=0x00001d1c vsz=00001d1c ehdr
